r 87, joined: nan, trans: NaT
r 247, joined: nan, trans: NaT
r 248, joined: nan, trans: NaT
r 249, joined: nan, trans: NaT
r 250, joined: nan, trans: NaT
r 251, joined: nan, trans: NaT
r 258, joined: nan, trans: NaT
r 262, joined: nan, trans: NaT
r 268, joined: nan, trans: NaT
r 274, joined: nan, trans: NaT
r 280, joined: nan, trans: NaT
r 283, joined: nan, trans: NaT
r 286, joined: nan, trans: NaT
r 292, joined: nan, trans: NaT
r 331, joined: nan, trans: NaT
r 332, joined: nan, trans: NaT
r 333, joined: nan, trans: NaT
r 334, joined: nan, trans: NaT
r 335, joined: nan, trans: NaT
r 336, joined: nan, trans: NaT
r 337, joined: nan, trans: NaT
r 338, joined: nan, trans: NaT
r 384, joined: nan, trans: NaT
r 385, joined: nan, trans: NaT
r 386, joined: nan, trans: NaT
r 387, joined: nan, trans: NaT
r 389, joined: nan, trans: NaT
r 390, joined: nan, trans: NaT
r 391, joined: nan, trans: NaT
r 393, joined: nan, trans: NaT
r 394, joined: nan, trans: NaT
r 395, joined: nan, trans: NaT
r 396, joined: nan, trans: NaT
r 397, joined: nan, trans: NaT
r 398, joined: nan, trans: NaT
r 566, joined: nan, trans: NaT
r 606, joined: nan, trans: NaT
r 607, joined: nan, trans: NaT
r 608, joined: nan, trans: NaT
r 609, joined: nan, trans: NaT
r 610, joined: nan, trans: NaT
r 611, joined: nan, trans: NaT
r 612, joined: nan, trans: NaT
r 613, joined: nan, trans: NaT
r 614, joined: nan, trans: NaT
r 739, joined: nan, trans: NaT
r 740, joined: nan, trans: NaT
r 741, joined: nan, trans: NaT
r 751, joined: nan, trans: NaT
r 752, joined: nan, trans: NaT
r 778, joined: nan, trans: NaT
r 798, joined: nan, trans: NaT
r 799, joined: nan, trans: NaT
r 800, joined: nan, trans: NaT
r 801, joined: nan, trans: NaT
r 839, joined: nan, trans: NaT
r 840, joined: nan, trans: NaT
r 841, joined: nan, trans: NaT
r 842, joined: nan, trans: NaT
r 968, joined: nan, trans: NaT
r 972, joined: nan, trans: NaT
r 974, joined: nan, trans: NaT
r 980, joined: nan, trans: NaT
r 981, joined: nan, trans: NaT
r 1073, joined: nan, trans: NaT
r 1074, joined: nan, trans: NaT
r 1075, joined: nan, trans: NaT
r 1077, joined: nan, trans: NaT
